岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
软件测试工程师,5-7K·13薪,1-3年，大专,珠海·香洲区·唐家湾,五险一金，节日福利，零食下午茶，法定节假日三薪，意外险，交通补助，带薪年假，年终奖，全勤奖，餐补,酷哟科技,互联网，未融资，20-99人,功能测试，Postman，JMeter，兼容测试
软件测试工程师,20-40K·16薪,1年以内，本科,杭州·滨江区·长河,五险一金，年终奖，员工旅游，餐补，补充医疗保险，定期体检，加班补助，带薪年假，通讯补贴，节日福利，全勤奖，交通补助，免费班车，零食下午茶，股票期权，离职补偿，住房补贴,华为技术有限公司,计算机软件，不需要融资，10000人以上,功能测试，性能测试，自动化测试，Java，Python，MySQL
软件测试工程师,11-18K·14薪,3-5年，本科,武汉·蔡甸区·沌口,带薪年假，股票期权，员工旅游，定期体检，通讯补贴，补充医疗保险，免费班车，节日福利，五险一金，交通补助，包吃，年终奖,法雷奥,汽车生产，已上市，10000人以上,功能测试，自动化测试，嵌入式测试，MySQL，嵌入式测试
软件测试工程师,8-12K·13薪,1-3年，本科,宁波,年终奖，定期体检，员工旅游，股票期权，五险一金，餐补，补充医疗保险，节日福利，带薪年假,浙江大仓信息科技,计算机软件，未融资，20-99人,软件测试，2年以上，本科，双休，五险一金
软件测试工程师,5-10K,1-3年，本科,广州·越秀区·五羊新城,节日福利，定期体检，年终奖，带薪年假，五险一金，员工旅游,港鑫科技,计算机软件，不需要融资，100-499人,SQL，系统测试，软件测试，Selenium，LoadRunner
软件测试工程师,6-8K,1-3年，大专,深圳·光明区·公明,,海拓华擎,医疗设备/器械，未融资，20-99人,Jira，计算机相关专业，自动化测试经验
软件测试工程师,4-7K,1-3年，大专,济南·历下区·文化东,,源蛋农牧科技,计算机软件，20-99人,软件测试，功能测试，接口测试
软件测试工程师,8-11K,1-3年，本科,珠海·香洲区·唐家湾,股票期权，五险一金，加班补助，年终奖，节日福利，带薪年假，补充医疗保险，定期体检,慧博云通,计算机软件，已上市，1000-9999人,功能测试，性能测试，自动化测试
软件测试工程师,5-6K,1-3年，大专,苏州·吴中区·苏苑,餐补，带薪年假，加班补助，五险一金,苏州泛云阅泽信息科技,计算机软件，未融资，20-99人,性能测试，功能测试，软件测试，测试开发
软件测试工程师,15-30K·15薪,3-5年，本科,成都·武侯区·新会展中心,五险一金，股票期权，带薪年假，定期体检，年终奖,爱旗,电子/半导体/集成电路，不需要融资,自动化测试，性能测试，黑盒测试
软件测试工程师,8-13K,3-5年，本科,杭州·西湖区·翠苑,五险一金，带薪年假，年终奖，餐补，股票期权，员工旅游，节日福利，定期体检，住房补贴，生日趴,新视窗,计算机软件，未融资，100-499人,功能测试，性能测试，自动化测试
软件测试工程师,13-20K,3-5年，本科,深圳·南山区·西丽,年终奖，员工旅游，加班补助，餐补，定期体检，五险一金，节日福利，带薪年假，股票期权,深圳麦科田,医疗设备/器械，不需要融资，1000-9999人,功能测试，性能测试，嵌入式测试
软件测试工程师,8-13K·13薪,1年以内，大专,上海·徐汇区·田林,补充医疗保险，加班补助，全勤奖，节日福利，工龄福利,斐德,通信/网络设备，B轮，100-499人,功能测试，性能测试
ADAS 软件测试工程师,11-22K,1-3年，本科,上海·嘉定区·嘉定镇,,大陆泰密克,企业服务，1000-9999人,软件测试
软件测试工程师,13-26K,1-3年，本科,北京,五险一金，餐补，零食下午茶，年终奖，员工旅游，补充医疗保险，加班补助，股票期权，定期体检，节日福利,华为,计算机软件，不需要融资，10000人以上,测试，软件测试，自动化测试，Python，Java
软件测试工程师,8-10K·14薪,在校/应届，本科,嘉兴·秀洲区·高照,生日福利，定期体检，意外险，团建聚餐，补充医疗保险，节假日加班费，保底工资，带薪年假，年终奖，零食下午茶，节日福利，五险一金,汉朔科技,新零售，D轮及以上，500-999人,功能测试
软件测试工程师（高级）上海,8-13K,3-5年，本科,上海·徐汇区·龙华,,猴软,计算机软件，未融资，20-99人,测试工程师，Android移动端，IOS
MCU软件测试工程师,10-15K·13薪,经验不限，本科,南京·雨花台区·铁心桥,包吃，五险一金，交通补助，员工旅游，股票期权，节日福利，住房补贴，零食下午茶，年终奖，餐补，带薪年假,欣威视通,智能硬件，已上市，100-499人,自动化测试，嵌入式测试
车载软件测试工程师,12-24K·13薪,3-5年，大专,上海·浦东新区·张江,,布鲸,计算机软件，100-499人,功能测试，性能测试，自动化测试，Python，计算机相关专业
研发软件测试工程师,9-10K,经验不限，本科,苏州·昆山市·玉山,定期体检，餐补，五险一金，带薪年假，包吃，员工旅游，加班补助，全勤奖，补充医疗保险，年终奖,仁宝集团,电子/半导体/集成电路，不需要融资,性能测试，功能测试，Windows
银行软件测试工程师,13-16K,3-5年，本科,北京·丰台区·菜户营,餐补，带薪年假，五险一金，双休，节日福利,天阳科技,计算机软件，已上市，1000-9999人,功能测试，信用卡，信贷，银行
高级软件测试工程师,17-30K,经验不限，本科,上海·浦东新区·金桥,加班补助，节假日加班费，零食下午茶，带薪年假，员工旅游，股票期权，节日福利，法定节假日三薪，定期体检，团建聚餐，生日福利，年终奖，绩效奖金，五险一金,上海华为技术有限公司,通信/网络设备，不需要融资，10000人以上,自动化测试，嵌入式测试，Python，通信相关专业
电源软件测试工程师,12-20K·13薪,3-5年，大专,上海·浦东新区·金桥,全勤奖，年终奖，带薪年假，定期体检，交通补助，餐补，免费班车，股票期权，加班补助，通讯补贴，五险一金，节日福利,新雷能,智能硬件，已上市，1000-9999人,自动化测试，Python，LabView，软件测试
高级软件测试工程师,20-35K·15薪,3-5年，本科,深圳·南山区·南油,年度体检，餐饮及下午茶，家属自选保险，家庭关爱假，弹性工作制，五险一金，节日礼品，补充医疗保险，免费健身设施，就近租房补贴,今日头条,移动互联网，未融资，10000人以上,软件测试，自动化测试，性能测试，功能测试，系统测试
高级软件测试工程师,10-11K,1-3年，本科,北京·延庆区·延庆城区,双休，节日福利，员工旅游，带薪年假，股票期权，年终奖，五险一金,东方金朔,智能硬件，未融资，20-99人,功能测试，性能测试，自动化测试，Python，MySQL，JMeter
中高级软件测试工程师,5-6K·13薪,3-5年，本科,苏州·虎丘区·高新区,零食下午茶，五险一金，年终奖，加班补助，交通补助，带薪年假,利博软件,计算机软件，0-20人,Java，C++，通信相关专业，自动化测试，性能测试
软件测试工程师(J11457),12-16K,3-5年，本科,南京·栖霞区·尧化,交通补助，免费班车，五险一金，定期体检，带薪年假，餐补，年终奖，补充医疗保险，节日福利,天加环境,机械设备/机电/重工，未融资，1000-9999人,功能测试，性能测试，自动化测试
软件测试工程师（影像效果/显示效果/音频）,15-30K,3-5年，本科,深圳·南山区·深圳湾,五险一金，零食下午茶，年终奖，定期体检，带薪年假，股票期权,OPPO,互联网，不需要融资，10000人以上,软件测试，手机测试
软件测试开发工程师（QA工程师）,13-26K,3-5年，本科,杭州·钱塘区·和达东东城,,电动屋,汽车生产，100-499人,Python
